HowTo,WhatIS,CLEF2018,CLEF2016,Symptoms,Diseases,CLEF2014,CLEF2013
how to lower triglycerides,calcium,parkinson's disease + titanium link,depression and abdominal cramping,fingernail bruises,onycholysis,non small cell lung cancer,passing gas and bowel obstruction
how to read nutrition labels,gluten,pelvic inflammatory disease,"bloody semen, testicle swollen and sore back",nail getting dark,,pancreatic pseudocyst and alcohol consumption,rhonchi
how to sleep,cancer,radiation health effect,lymphocytic infiltration marked nuclear crush artifact,bruised thumb nail,,peptic ulcer disease,right macular hemorrhage
how to lower blood pressure,diabetes,resevrse insulin ressitance,"how to minimise chest, heart and back pain at home",slouching when walking,parkinson's disease,renal failure,sacral ulcer and care
how to reduce swelling,hiv,rheumatoid arthritis prognosis,symptoms worse than IBS but doctor says no,poor gait and balance with shaking,,repiratory failure and CHF,seizures and alcohol withdrawal syndrome
how to relieve back pain,normal blood pressure,sleep apnea syndrome,sick every time I drink alcohol,whooping cough,pertussis,right upper lobe pneumonia with cavitary lesion,shortness of breath after aortic valve replacement
how to get rid of hiccups,arthritis,smoking and heart disease,"hypertension been cleared by doctor, what next",swollen legs,polyarteritis nodosa,status post narrow field laryngectomy,shortness of breath and swelling
how to stop snoring,insulin,smoking cessation products,dangers of lowering blood pressure too quickly to a normal level,patchy bleeding under skin,,stroke and respiratory failure,sinus tachycardia
how to stop itching,hpv,stem cell hearing loss,"lethargic, swollen lymph glands, bloating after eating, 5-year old",red patchy bruising over legs,,subdural hematoma,solid organ
how to stop diarrhea,hepatitis,voltaren emugel,chest pain still persists even after taking pariet,red rash baby face,port wine stain,suicidal ideation,subdural hematoma and treatment and recovery
how to treat a burn,sepsis,,ALT 112 severity,baby skin fungal,,tracheobronchomalacia,symptoms and disease of aortic insufficiency
how to get rid of pimples,anemia,,blood in semen for about a week with no other symptoms,red irritated skin on baby's face,,"traumatic brain injury, status post fall",symptoms of hypo- and hyper-glycemia
how to get prescription,ibuprofen,,persistent nasal drip of 2 years,dry feel with irritation,ringworm,tretament for subarachnoid hemorrage,thigh pain and hip replacement operation
how to take tablets,antibiotic,,"bleeding and discharge from right nipple with small clot, can it be benign",scaly red itchy feet in children,,upper gastrointestinal bleed,type 1 diabetes and malignant hypertension
how to get adderall,amoxicillin,,impact of long term PPI use,itchy lumps skin,sarcoptes scabiei,,ulcerative colitis and hypotension
how to take antibiotics,tramadol,,what causes white blood cells in urine without infection,common itchy skin rashes,,,urinary tract infection and ciprofloxacin
how to take ciprofloxacin,viagra,,what Guillain-Barre Syndrome entails,itchy raised bumps skin,scabies,,vegetation and pulmonic valve
how to take keto pills,xanax,,"scrotal swelling, sore back and abdominal pain, hydrocele",scaly rash,squamous cell carcinoma,,weakness and sepsis
how to administer trulicity,doxycycline,,"pain in throat and head and red eyes, viral throat infection",red patch on skin with blister and dry pus,,,white blood cells and bacteria
how to take amoxicillin,adderall,,why is it hard to get pain medication,white patchiness in mouth,strep throat,,
how to take ibuprofen,aspirin,,sudden Blurry Spot in Vision from tears,white spotting on gums,,,
how to get viagra,tylenol,,painful erections a month after having a Foley Catheter,white infection in pharynx,,,
